rep,features,metric,rang_mikeysem,n_candidats,sep_mikeysem,sep_top1,top1
0,mfw,cosine_delta,168,493,-0.4032005037087004,-3.085400129280692,Beendo Z
0,mfw,burrows_delta,198,493,-0.3581663430090281,-2.600085659407764,Sopico
0,char,cosine_delta,57,493,-1.2513574299274908,-2.616376968892543,Werenoi
0,char,burrows_delta,327,493,0.3252492097527696,-2.9336267375685305,Sopico
1,mfw,cosine_delta,153,493,-0.45774836717448125,-3.1160576993867495,Rimkus
1,mfw,burrows_delta,203,493,-0.2761125176785401,-2.7705351831567686,S-Crew
1,char,cosine_delta,67,493,-1.1878925840023709,-2.4502033872080493,Timal
1,char,burrows_delta,335,493,0.37504305031507235,-2.8726884641569215,Rohff
2,mfw,cosine_delta,134,493,-0.6589549855201141,-2.601716527923676,Beendo Z
2,mfw,burrows_delta,180,493,-0.40425093305667087,-2.2467086132916747,Hayce Lemsi
2,char,cosine_delta,56,493,-1.2637576500768395,-2.5856432691305167,ASHE 22
2,char,burrows_delta,360,493,0.4383143309908587,-2.587478885069756,Mani Deïz
3,mfw,cosine_delta,153,493,-0.49228624425429496,-2.9081944268022237,Rimkus
3,mfw,burrows_delta,181,493,-0.40692520443050834,-2.4152529486279364,Sneazzy
3,char,cosine_delta,56,493,-1.2278866634923682,-2.575064660007148,Rimkus
3,char,burrows_delta,343,493,0.4191875741403119,-2.6267487312057862,Nekfeu
4,mfw,cosine_delta,147,493,-0.5268737283793405,-2.9907625371102684,Graya
4,mfw,burrows_delta,188,493,-0.36404886821026455,-2.0707141573801486,S-Crew
4,char,cosine_delta,60,493,-1.2483975431035041,-2.5564561981555327,Hatik
4,char,burrows_delta,346,493,0.3982521736665135,-2.6752354524147672,S-Crew
5,mfw,cosine_delta,175,493,-0.37952315802562364,-3.180171638247294,Dika
5,mfw,burrows_delta,202,493,-0.30938014934905594,-2.207679174041842,Nekfeu
5,char,cosine_delta,58,493,-1.24068906298815,-2.769716809304685,Djadja & Dinaz
5,char,burrows_delta,331,493,0.33350542053610827,-2.511342341137736,Nekfeu
6,mfw,cosine_delta,149,493,-0.5237064816028999,-3.052895416843852,Lacrim
6,mfw,burrows_delta,202,493,-0.3278424338507474,-2.6647473629285194,Kofs
6,char,cosine_delta,47,493,-1.3979789152482076,-2.5631541555856243,Fresh laDouille
6,char,burrows_delta,328,493,0.3235896661023133,-2.7335753311085647,Kofs
7,mfw,cosine_delta,156,493,-0.5104889050191412,-3.026224757309445,Rimkus
7,mfw,burrows_delta,194,493,-0.35354344988497205,-2.164313224716836,L’Animalerie
7,char,cosine_delta,58,493,-1.2196948503582772,-2.6418540865744466,UZI (FRA)
7,char,burrows_delta,348,493,0.3905596678958474,-2.2766381015999095,Mysa
8,mfw,cosine_delta,130,493,-0.6141621016632698,-2.6856476391878674,Lemon Haze
8,mfw,burrows_delta,192,493,-0.36178405360439525,-2.931073045962657,Vald
8,char,cosine_delta,64,493,-1.1987820546732062,-2.8686191635399974,MC Circulaire
8,char,burrows_delta,344,493,0.43621670108886945,-3.1188520167894476,Vald
9,mfw,cosine_delta,138,493,-0.6018256400066699,-2.782560934915373,Maes
9,mfw,burrows_delta,179,493,-0.454124689956114,-2.3683740570203113,L’Entourage
9,char,cosine_delta,55,493,-1.2368506611262835,-2.3579297956033978,Moha La Squale
9,char,burrows_delta,317,493,0.248276271888151,-2.9065299978989025,Nekfeu
10,mfw,cosine_delta,150,493,-0.49695272904190224,-2.924082746373933,Rimkus
10,mfw,burrows_delta,189,493,-0.32891601788915703,-2.512230059561518,Zkr
10,char,cosine_delta,56,493,-1.2772070281761467,-2.645748500916908,Beendo Z
10,char,burrows_delta,335,493,0.3708305192420855,-2.8231813589964854,Nekfeu
11,mfw,cosine_delta,117,493,-0.7020267688934939,-3.0423214411598605,Lesram
11,mfw,burrows_delta,179,493,-0.40823219597078025,-2.507427035666972,Zkr
11,char,cosine_delta,63,493,-1.1451197096467949,-3.074454368358396,UZI (FRA)
11,char,burrows_delta,336,493,0.35709272182363533,-2.669904241028555,Mani Deïz
12,mfw,cosine_delta,141,493,-0.5883064102352605,-3.200452044923491,Sofiane
12,mfw,burrows_delta,204,493,-0.30744426278641546,-2.3538000463907554,L’Animalerie
12,char,cosine_delta,56,493,-1.268434884584832,-2.6859236003693847,Beendo Z
12,char,burrows_delta,356,493,0.4459826036266105,-2.441054031237706,L’Animalerie
