artiste,score,type
Mikeysem,0.07,hypothèse
Sneazzy,0.16333333333333333,jumeau authentique
S-Crew,0.7666666666666667,jumeau authentique
Hamza,0.99,jumeau authentique
Soso Maness,0.99,jumeau authentique
Tunisiano,0.3233333333333333,jumeau authentique
Mafia K’1 Fry,0.11666666666666667,jumeau authentique
Damso,0.9833333333333333,jumeau authentique
Rohff,0.8033333333333333,jumeau authentique
Retro X,1.0,jumeau authentique
Yaro,0.73,jumeau authentique
Jazzy Bazz,0.45,jumeau authentique
Kohndo,0.8933333333333333,jumeau authentique
Ol’ Kainry,0.8733333333333333,jumeau authentique
Hornet La Frappe,0.93,jumeau authentique
Lino,0.9766666666666667,jumeau authentique
Furax Barbarossa,0.7733333333333333,jumeau authentique
Still Fresh,0.03,jumeau authentique
Lycos,1.0,jumeau authentique
Lucio Bukowski,0.9966666666666667,jumeau authentique
Lefa,0.7933333333333333,jumeau authentique
Dibson,0.6,jumeau authentique
MMZ,1.0,jumeau authentique
Kamelancien,0.043333333333333335,jumeau authentique
404Billy,0.9866666666666667,jumeau authentique
KIK,0.7433333333333333,jumeau authentique
RK,0.8033333333333333,jumeau authentique
Therapie TAXI,1.0,jumeau authentique
Svinkels,1.0,jumeau authentique
Médine,0.21666666666666667,jumeau authentique
Vald,0.5566666666666666,jumeau authentique
Sadek,0.12666666666666668,jumeau authentique
Nahir,1.0,jumeau authentique
D. Ace,0.8666666666666667,jumeau authentique
Bosh,0.4533333333333333,jumeau authentique
Ninho,0.53,jumeau authentique
Lomepal,0.9966666666666667,jumeau authentique
Bekar,1.0,jumeau authentique
Dany Dan,0.9733333333333334,jumeau authentique
Barack,0.6033333333333334,jumeau authentique
Nessbeal,1.0,jumeau authentique
