groupe,libelle,rang_median,sep_cible,taux_rang1
changement d'identité,Joke → Ateyaba,1.0,-4.976873868821583,1.0
changement d'identité,Maître Gims → Gims,5.0,-2.9090602020824083,0.1
changement d'identité,Disiz la Peste → Disiz,8.0,-2.218786917620217,0.2
sans changement,ASHE 22,1.0,-4.013577643665414,1.0
sans changement,Assassin (FRA),1.0,-3.669178844452603,0.75
sans changement,Bolémvn,1.0,-3.5791232827525516,1.0
sans changement,Djadja & Dinaz,1.0,-3.076685407178351,1.0
sans changement,Fayçal,1.0,-3.8695575066106414,1.0
sans changement,Furax Barbarossa,1.0,-3.145774195294648,1.0
sans changement,Kalash Criminel,1.0,-6.929646028699796,1.0
sans changement,Krisy,1.0,-3.9457708837139487,1.0
sans changement,Lacrim,1.0,-3.2279087008238667,0.75
sans changement,Lunatic,1.0,-4.59727504091427,0.75
sans changement,Manau,1.0,-5.527585683265519,1.0
sans changement,Maska,1.0,-4.561403038739487,1.0
sans changement,Ninho,1.0,-3.017887216959643,0.75
sans changement,Roshi,1.0,-3.759895708237336,1.0
sans changement,Sefyu,1.0,-3.3826208381164227,1.0
sans changement,Serane,1.0,-7.57506079691225,1.0
sans changement,The Shin Sekaï,1.0,-3.115337084424908,0.75
sans changement,Therapie TAXI,1.0,-9.695436148766746,1.0
sans changement,Volts Face,1.0,-4.2673532957558304,1.0
sans changement,YL,1.0,-3.8856387081579555,1.0
sans changement,Zek,1.0,-2.7375163363109754,1.0
sans changement,Black M,1.5,-3.3218780787806512,0.5
sans changement,Elams,1.5,-2.6067824653237,0.5
sans changement,GLK,1.5,-2.544896512572677,0.5
sans changement,Barack,2.0,-2.6858292072624312,0.5
sans changement,Guizmo,2.0,-3.1172139306701525,0.5
sans changement,Nakk Mendosa,2.0,-2.9902185902835234,0.25
sans changement,Nekfeu,2.0,-3.3399527708489476,0.5
sans changement,Sofiane,2.0,-2.187757267067778,0.5
sans changement,Sneazzy,3.0,-2.6688493913836226,0.5
sans changement,Elh Kmer,3.5,-2.351262650821117,0.25
sans changement,Lujipeka,4.0,-2.809723398761879,0.0
sans changement,Bigflo & Oli,5.5,-2.2441063299033237,0.5
sans changement,Pit Baccardi,5.5,-2.093714522239642,0.0
sans changement,Tandem,6.0,-2.1606124194417657,0.0
sans changement,Abou Debeing,7.0,-2.4775653863069222,0.0
sans changement,Hippocampe Fou,13.5,-2.2396134712508196,0.25
sans changement,Sam’s,16.0,-1.8175593483068677,0.0
sans changement,Chilla,19.0,-1.8557254200476572,0.0
sans changement,Vald,30.0,-1.7667353643797976,0.0
sans changement,Suprême NTM,35.0,-1.5593776328382887,0.0
sans changement,Rohff,39.0,-1.5422878149521113,0.0
sans changement,Roméo Elvis,51.0,-1.2466472337280323,0.0
sans changement,S-Crew,53.0,-1.1083101346567594,0.0
sans changement,Canardo,151.0,-0.3205410253240167,0.0
