rep,rang_cible,n_candidats,sep_cible,sep_top1,top1,rang_Kerchak,rang_Beendo Z,rang_ISK,rang_Werenoi,rang_Zkr,rang_Rimkus,variante
0,211,393,0.13759413818777994,-2.492124267070664,Kerchak,1,2,11,32,8,4,textes complets
1,138,393,-0.4117015253018883,-2.5805677697975855,Beendo Z,2,1,9,7,32,6,textes complets
2,128,393,-0.5657677295975405,-2.2556288000099527,ISK,8,12,1,3,14,9,textes complets
3,113,393,-0.5841580057753977,-2.364442281786853,Kerchak,1,8,5,3,15,6,textes complets
4,129,393,-0.5126234519506901,-2.242571336146172,ISK,11,8,1,7,3,9,textes complets
5,101,393,-0.7261788126472402,-2.454295134507464,RK,3,2,4,8,11,5,textes complets
6,169,393,-0.18894417062187316,-2.543791483698391,ISK,12,2,1,8,25,5,textes complets
7,150,393,-0.31927297303345037,-2.427795647192948,UZI (FRA),3,2,11,17,6,8,textes complets
8,74,393,-0.948627210029059,-2.4087652816051386,Roshi,4,3,14,13,33,6,textes complets
9,132,393,-0.4373955895616621,-2.792033866471539,Maes,18,8,9,6,14,4,textes complets
10,80,393,-0.8755758665247905,-2.4134848998659546,ISK,4,6,1,3,14,10,textes complets
11,170,393,-0.1591998752580505,-2.815948780256424,Beendo Z,3,1,5,7,16,19,textes complets
12,101,393,-0.7532129979647718,-2.2585178766330385,ASHE 22,8,3,7,15,10,6,textes complets
13,124,393,-0.5542376219747601,-2.5891406986271575,Beendo Z,2,1,13,3,10,9,textes complets
14,206,393,0.09385633838436845,-2.3114409311807154,Zkr,14,5,8,7,1,9,textes complets
15,132,393,-0.5001967419025204,-2.3484593413561607,UZI (FRA),2,6,17,3,36,4,textes complets
16,81,393,-0.8807200707375881,-2.288397445747411,Beendo Z,2,1,62,4,27,5,textes complets
17,107,393,-0.6551330971027015,-2.5406832607731156,Kerchak,1,2,17,21,5,6,textes complets
18,118,393,-0.5493272975009521,-2.550927578563665,Kerchak,1,12,2,13,10,6,textes complets
19,150,393,-0.34096493670603323,-2.2576769429723176,Zola,11,7,5,8,23,4,textes complets
20,80,393,-0.9035385819395498,-2.3670124377814705,Werenoi,2,5,11,1,3,15,textes complets
21,159,393,-0.21843249731367703,-2.5023813552533514,Kerchak,1,5,6,10,8,4,textes complets
22,142,393,-0.3323212037674345,-2.1617728190879477,Beendo Z,8,1,18,27,17,2,textes complets
23,164,393,-0.2541069566269979,-2.610730167590797,UZI (FRA),2,3,6,7,8,9,textes complets
24,184,393,-0.06323411701105404,-2.4810345809225085,Beendo Z,4,1,19,3,26,5,textes complets
25,146,393,-0.31705591060959015,-2.575707814146003,Kerchak,1,2,11,9,5,4,textes complets
26,129,393,-0.47899533307306696,-2.743407830520857,Beendo Z,4,1,17,16,23,6,textes complets
27,91,393,-0.8057724507243132,-2.646153186321078,Beendo Z,2,1,5,3,15,7,textes complets
28,63,393,-1.0906732712467124,-2.661309647882388,Beendo Z,6,1,5,2,7,11,textes complets
29,125,393,-0.5216904440234474,-2.4031411204818958,Beendo Z,2,1,8,16,39,5,textes complets
0,89,390,-0.7989723982674197,-2.627493613815849,Werenoi,3,2,9,1,7,4,sans ad-libs entre parenthèses
1,131,390,-0.4203837920000653,-2.656016402681209,Beendo Z,12,1,5,3,26,2,sans ad-libs entre parenthèses
2,171,390,-0.11806541567219224,-2.484840258807149,Zkr,6,2,14,3,1,8,sans ad-libs entre parenthèses
3,118,390,-0.5548439383759859,-2.5548318852689555,ISK,4,3,1,5,7,6,sans ad-libs entre parenthèses
4,94,390,-0.8063548796680572,-2.5472831869637207,Kerchak,1,5,2,4,18,6,sans ad-libs entre parenthèses
5,123,390,-0.4785284998960287,-2.7420593343928807,Beendo Z,3,1,6,2,14,4,sans ad-libs entre parenthèses
6,172,390,-0.1776699864605522,-2.5435035500606236,Kerchak,1,3,9,2,24,4,sans ad-libs entre parenthèses
7,119,390,-0.5527235659962703,-2.5642557942390036,Kerchak,1,5,4,10,9,2,sans ad-libs entre parenthèses
8,149,390,-0.3607494936580491,-2.3897253566385968,Werenoi,3,15,7,1,8,2,sans ad-libs entre parenthèses
9,73,390,-0.9865016722441637,-2.4734656134828694,UZI (FRA),4,2,6,11,15,5,sans ad-libs entre parenthèses
10,96,390,-0.7583105961739623,-2.571584552110259,Kerchak,1,5,14,2,21,3,sans ad-libs entre parenthèses
11,106,390,-0.656778925240882,-2.403631328494351,Werenoi,3,6,4,1,15,2,sans ad-libs entre parenthèses
12,143,390,-0.34701055218300625,-2.6320902347110224,Kerchak,1,2,9,4,22,3,sans ad-libs entre parenthèses
13,127,390,-0.472485902122901,-2.4080184766965194,Beendo Z,7,1,3,6,2,10,sans ad-libs entre parenthèses
14,103,390,-0.674351361487127,-2.6424861721463437,Beendo Z,2,1,12,3,17,6,sans ad-libs entre parenthèses
15,65,390,-1.054431863592945,-2.5505175936749396,UZI (FRA),3,4,28,10,8,5,sans ad-libs entre parenthèses
16,139,390,-0.37760795003423886,-2.611945546913885,Kerchak,1,2,4,5,6,3,sans ad-libs entre parenthèses
17,162,390,-0.2136161414683531,-2.401235766609729,Werenoi,2,7,14,1,22,6,sans ad-libs entre parenthèses
18,150,390,-0.30604564977518567,-2.719837291716632,Werenoi,5,4,3,1,7,6,sans ad-libs entre parenthèses
19,123,390,-0.523859053089289,-2.608804830173856,Nahir,3,2,4,7,14,12,sans ad-libs entre parenthèses
20,133,390,-0.4399067685160477,-2.4891035364732814,ISK,2,3,1,4,8,5,sans ad-libs entre parenthèses
21,154,390,-0.3004817134248383,-2.7099472982164525,ISK,3,5,1,2,21,4,sans ad-libs entre parenthèses
22,136,390,-0.38400482377428147,-2.9336838794541555,ISK,5,4,1,2,8,3,sans ad-libs entre parenthèses
23,179,390,-0.1225196969806232,-2.3528446451662233,Zkr,6,3,15,2,1,9,sans ad-libs entre parenthèses
24,144,390,-0.3002805330199781,-2.515381106525142,ISK,4,8,1,2,16,6,sans ad-libs entre parenthèses
25,170,390,-0.14020643114870204,-2.555736666224583,Maes,2,5,16,8,6,3,sans ad-libs entre parenthèses
26,156,390,-0.26156342134564264,-2.629456135642039,Zkr,3,10,25,2,1,4,sans ad-libs entre parenthèses
27,124,390,-0.5174432355328662,-2.482143931476454,Werenoi,2,9,3,1,13,4,sans ad-libs entre parenthèses
28,144,390,-0.3111626527868165,-2.6992814304735173,Kerchak,1,2,5,7,74,3,sans ad-libs entre parenthèses
29,111,390,-0.6221079708268114,-2.535026752614858,Werenoi,2,6,5,1,18,4,sans ad-libs entre parenthèses
0,117,390,-0.6111615474913218,-2.4818823936448857,UZI (FRA),6,2,30,10,3,4,"web7 depuis 2019, sans ad-libs"
1,117,390,-0.5267105686131249,-2.668919438591146,Beendo Z,8,1,19,2,5,4,"web7 depuis 2019, sans ad-libs"
2,184,390,-0.02565562644599858,-2.6388059867415166,Beendo Z,9,1,3,2,10,4,"web7 depuis 2019, sans ad-libs"
3,95,390,-0.7424428746972362,-2.452577153196991,ISK,2,5,1,8,3,6,"web7 depuis 2019, sans ad-libs"
4,156,390,-0.23499793454932652,-2.577613983970442,Beendo Z,9,1,4,2,5,7,"web7 depuis 2019, sans ad-libs"
5,95,390,-0.7315828957593671,-2.764682918630062,Beendo Z,5,1,4,2,7,6,"web7 depuis 2019, sans ad-libs"
6,119,390,-0.5431354874181374,-2.5146344799355997,Beendo Z,5,1,6,4,10,9,"web7 depuis 2019, sans ad-libs"
7,141,390,-0.3999815741692365,-2.4595721520711162,Werenoi,4,2,19,1,12,3,"web7 depuis 2019, sans ad-libs"
8,92,390,-0.7706775975234794,-2.734287936736777,UZI (FRA),4,3,2,6,14,5,"web7 depuis 2019, sans ad-libs"
9,101,390,-0.6969587652141676,-2.54360802635079,Beendo Z,7,1,3,4,2,6,"web7 depuis 2019, sans ad-libs"
10,115,390,-0.5509358665492803,-2.617718815896174,Werenoi,3,2,13,1,30,4,"web7 depuis 2019, sans ad-libs"
